Logical Record Number,Provider ID,FRN,Provider Name,DBA Name,Holding Company Name,Holding Company Number,Holding Company Final,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
1,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001002,42,1,6,1.5,1
2,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001003,42,1,6,1.5,1
3,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001004,42,1,6,1.5,1
4,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001005,42,1,6,1.5,1
5,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001006,42,1,6,1.5,1
6,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001007,42,1,6,1.5,1
7,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001008,42,1,6,1.5,1
8,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001011,42,1,6,1.5,1
9,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001012,42,1,6,1.5,1
10,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001020,42,1,6,1.5,1
11,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001021,42,1,6,1.5,1
12,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001035,42,1,6,1.5,1
13,69543,0003723152,Broken Bow TV Cable,Broken Bow Cable,Broken Bow TV Cable,130168,Broken Bow TV Cable,OK,400890987001036,42,1,6,1.5,1
