Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
59478949,11/17/2023 09:36:00 PM,11/27/2023 01:09:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,Location Type: Intersection,,11105,,,,,23 STREET,23 DRIVE,INTERSECTION,QUEENS,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/27/2023 01:09:00 PM,01 QUEENS,22,Precinct 114,,QUEENS,1006612,222345,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7769336672631,-73.91925933455076,POINT (-73.919259334551 40.776933667263)
59488961,11/18/2023 01:09:46 PM,01/23/2024 06:48:53 AM,DOT,Department of Transportation,Broken Parking Meter,Out of Order,N/A,Street,10003,EAST    9 STREET,EAST    9 STREET,TERRENCE MCNALLY WAY,BROADWAY,TERRENCE MCNALLY WAY,BROADWAY,BLOCKFACE,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,01/23/2024 06:48:58 AM,Unspecified MANHATTAN,,Precinct 6,,MANHATTAN,986311,205741,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7313879520584,-73.9925636012436,POINT (-73.992563601244 40.731387952058)
59484534,11/18/2023 02:39:00 PM,11/18/2023 04:30:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Down,,10024,,,,,RIVERSIDE DRIVE,WEST 78 STREET,INTERSECTION,MANHATTAN,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/18/2023 04:30:00 PM,07 MANHATTAN,06,Precinct 20,,MANHATTAN,988876,225038,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.78435231530052,-73.98329541705175,POINT (-73.983295417052 40.784352315301)
59481897,11/18/2023 03:25:47 PM,01/18/2024 02:51:21 PM,DOT,Department of Transportation,Curb Condition,Broken Curb,1-3 Residential Units,Sidewalk,11411,115-68 223 STREET,223 STREET,115 ROAD,116 AVENUE,115 ROAD,116 AVENUE,ADDRESS,CAMBRIA HEIGHTS,223 STREET,,Closed,,This request required re-assignment to a new DOT unit.,01/18/2024 02:51:29 PM,13 QUEENS,27,Precinct 105,4113040038,QUEENS,1057462,193430,ONLINE,Unspecified,QUEENS,,,,,,,,40.69729459831728,-73.7359747498017,POINT (-73.735974749802 40.697294598317)
59490022,11/19/2023 09:37:42 AM,11/29/2023 09:55:07 AM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",N/A,Street,11201,168 CLINTON STREET,CLINTON STREET,SCHERMERHORN STREET,STATE STREET,SCHERMERHORN STREET,STATE STREET,ADDRESS,BROOKLYN,CLINTON STREET,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",11/29/2023 09:55:10 AM,02 BROOKLYN,33,Precinct 84,3002670037,BROOKLYN,985959,191155,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6913529255048,-73.99383737282474,POINT (-73.993837372825 40.691352925505)
59478136,11/17/2023 06:08:21 PM,11/21/2023 09:49:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,,11415,83 AVENUE,83 AVENUE,HOOVER AVENUE,KEW GARDENS ROAD,,,BLOCKFACE,QUEENS,,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,11/21/2023 09:49:00 AM,09 QUEENS,,Precinct 102,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
59487072,11/18/2023 02:49:41 PM,12/13/2023 01:25:33 PM,DOT,Department of Transportation,Street Sign - Dangling,Other/Unknown,N/A,Street,11204,7113 18 AVENUE,18 AVENUE,71 STREET,72 STREET,71 STREET,72 STREET,ADDRESS,BROOKLYN,18 AVENUE,,Closed,,The Department of Transportation inspected the condition and issued a notice to the responsible party to correct the condition.,12/13/2023 01:25:37 PM,11 BROOKLYN,43,Precinct 62,3061830005,BROOKLYN,985978,163540,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61555577766678,-73.99377593455021,POINT (-73.99377593455 40.615555777667)
59483334,11/18/2023 03:44:42 AM,11/18/2023 07:36:25 AM,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",N/A,Street,11106,31-02 34 AVENUE,34 AVENUE,31 STREET,32 STREET,31 STREET,32 STREET,ADDRESS,ASTORIA,34 AVENUE,,Closed,,"The Department of Transportation inspected the condition and made the determination that the street meets resurfacing standards and will be planned for either the next or future resurfacing seasons (2 - 3 years). The Department of Transportation works with Community Boards and elected officials to determine resurfacing priority. For specific scheduling information regarding your street, contact your Community Board.",11/18/2023 07:36:30 AM,01 QUEENS,22,Precinct 114,4006080028,QUEENS,1004440,216029,ONLINE,Unspecified,QUEENS,,,,,,,,40.75960312138562,-73.92712056863198,POINT (-73.927120568632 40.759603121386)
59484053,11/18/2023 07:32:28 PM,11/20/2023 04:14:57 PM,DOT,Department of Transportation,Street Sign - Dangling,Other/Unknown,N/A,Street,11238,10 LEXINGTON AVENUE,LEXINGTON AVENUE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,LEXINGTON AVENUE,,Closed,,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",11/20/2023 04:15:03 PM,02 BROOKLYN,35,Precinct 88,3019690022,BROOKLYN,994907,189367,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68643902566585,-73.9615738559906,POINT (-73.961573855991 40.686439025666)
59485517,11/18/2023 02:31:00 AM,11/20/2023 10:52:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,Location Type: Intersection,,11101,,,,,49 AVENUE,34 STREET,INTERSECTION,QUEENS,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,11/20/2023 10:52:00 AM,02 QUEENS,26,Precinct 108,,QUEENS,1003101,208329,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7384715241544,-73.93197551173265,POINT (-73.931975511733 40.738471524154)
